contract_id,client_name,effective_date,termination_date,plan_type,network_name,coverage_limit,deductible,copay,region,broker,status,source_format,extraction_status,missing_fields,run_id,source_file,extracted_at
SYN-2024-001,Northstar Manufacturing LLC,2024-01-01,2024-12-31,PPO,PrimeCare National,1000000,1500,30,Midwest,Summit Benefits Group,Active,pdf,success,,poc-run-20260723-001,SYN-2024-001.pdf,2026-07-23T00:50:00Z
SYN-2024-002,Blue Harbor Logistics Inc,2024-03-15,2025-03-14,HMO,Harbor Health Select,750000,1000,25,Northeast,Atlantic Advisors,Active,pdf,success,,poc-run-20260723-001,SYN-2024-002.pdf,2026-07-23T00:50:00Z
SYN-2024-003,Cedar Ridge Retail Corp,2024-06-01,2025-05-31,EPO,RidgeCare Preferred,500000,2000,40,South,Pine Tree Insurance Brokers,Active,pdf,success,,poc-run-20260723-001,SYN-2024-003.pdf,2026-07-23T00:50:00Z
SYN-2024-004,Summit Tech Services,2024-02-01,2025-01-31,HDHP,TechShield Plus,2000000,3000,0,West,Pacific Plan Partners,Active,pdf,success,,poc-run-20260723-001,SYN-2024-004.pdf,2026-07-23T00:50:00Z
SYN-2024-005,Lakeside Hospitality Group,2024-04-01,2025-03-31,PPO,Lakeside Choice,850000,1250,35,Midwest,Great Lakes Benefits,Pending Amendment,pdf,success,,poc-run-20260723-001,SYN-2024-005.pdf,2026-07-23T00:50:00Z
SYN-2024-006,Aurora Pharma Distributors,2024-07-01,2025-06-30,PPO,Aurora Care Network,1200000,1750,20,West,Cascade Benefit Advisors,Active,docx,success,,poc-run-20260723-001,SYN-2024-006.docx,2026-07-23T00:50:00Z
SYN-2024-007,Ironclad Construction Co,2024-05-15,2025-05-14,HMO,BuildWell Network,600000,1000,15,South,Steel City Brokers,Active,docx,success,,poc-run-20260723-001,SYN-2024-007.docx,2026-07-23T00:50:00Z
SYN-2024-008,Greenfield Agro Foods,2024-09-01,2025-08-31,EPO,Harvest Health,450000,2500,50,Midwest,,Draft,docx,partial,broker,poc-run-20260723-001,SYN-2024-008.docx,2026-07-23T00:50:00Z
SYN-2024-009,Nova Digital Media LLC,2024-08-01,2025-07-31,HDHP,NovaShield,1500000,3500,0,Northeast,Metro Benefit Solutions,Active,docx,success,,poc-run-20260723-001,SYN-2024-009.docx,2026-07-23T00:50:00Z
SYN-2024-010,Harborview Financial Partners,2024-10-01,2025-09-30,PPO,Harborview Premier,950000,1400,30,Northeast,Coastal Benefits LLC,Active,docx,success,,poc-run-20260723-001,SYN-2024-010.docx,2026-07-23T00:50:00Z
